Månad,Dag,Timme,Årstimme,Meteonorm Lkp Utetemp (grad C),Meteonorm Lkp Utetemp heltal (grad C),SMHI Lkp 2015 Utetemp (grad C),SMHI Lkp 2015 Utetemp heltal (grad C),SMHI Lkp 2013 Utetemp (grad C),SMHI Lkp 2013 Utetemp heltal (grad C),SMHI Lkp 2010 Utetemp (grad C),SMHI Lkp 2010 Utetemp heltal (grad C)
6,30,3,4323,11.1, 11    , 11.40    , 11    ,8,8, 15.60    , 16    
6,30,4,4324,11.2, 11    , 11.10    , 11    ,7.2,7, 16.40    , 16    
6,30,5,4325,11.7, 12    , 12.60    , 13    ,9.8,10, 16.20    , 16    
6,30,6,4326,12.4, 12    , 13.40    , 13    ,11.2,11, 16.60    , 17    
6,30,7,4327,12.9, 13    , 13.90    , 14    ,13,13, 17.00    , 17    
6,30,8,4328,13.6, 14    , 14.20    , 14    ,13.5,14, 19.20    , 19    
6,30,9,4329,14.4, 14    , 15.10    , 15    ,15.3,15, 20.70    , 21    
6,30,10,4330,15.4, 15    , 15.10    , 15    ,15.5,16, 20.80    , 21    
6,30,11,4331,16.2, 16    , 16.00    , 16    ,16.4,16, 20.60    , 21    
6,30,12,4332,16.8, 17    , 15.90    , 16    ,16.9,17, 21.20    , 21    
6,30,13,4333,17.2, 17    , 16.90    , 17    ,17,17, 20.40    , 20    
6,30,14,4334,17.2, 17    , 17.90    , 18    ,16.7,17, 20.10    , 20    
6,30,15,4335,17.8, 18    , 18.60    , 19    ,17.3,17, 20.60    , 21    
6,30,16,4336,17.9, 18    , 20.30    , 20    ,18.2,18, 20.70    , 21    
6,30,17,4337,17.7, 18    , 16.90    , 17    ,18.5,19, 21.20    , 21    
6,30,18,4338,17.3, 17    , 20.00    , 20    ,18.6,19, 20.20    , 20    
6,30,19,4339,16.9, 17    , 20.20    , 20    ,17.9,18, 19.20    , 19    
6,30,20,4340,16.3, 16    , 20.10    , 20    ,15.5,16, 18.00    , 18    
6,30,21,4341,15.6, 16    , 17.10    , 17    ,14.7,15, 16.00    , 16    
6,30,22,4342,14.8, 15    , 14.60    , 15    ,13.6,14, 13.80    , 14    
6,30,23,4343,13.9, 14    , 12.50    , 13    ,11.7,12, 12.50    , 13    
6,30,24,4344,13, 13    , 12.20    , 12    ,10.7,11, 12.00    , 12    
7,1,1,4345,12.4, 12    , 11.30    , 11    ,9.3,9, 11.50    , 12    
7,1,2,4346,11.8, 12    , 11.30    , 11    ,8.4,8, 10.60    , 11    
7,1,3,4347,11.2, 11    , 10.70    , 11    ,7.6,8, 12.70    , 13    
7,1,4,4348,11.3, 11    , 10.00    , 10    ,7.6,8, 13.20    , 13    
7,1,5,4349,11.9, 12    , 12.20    , 12    ,8.7,9, 13.20    , 13    
7,1,6,4350,12.7, 13    , 15.80    , 16    ,11.3,11, 14.40    , 14    
7,1,7,4351,13.8, 14    , 16.50    , 17    ,13.4,13, 14.70    , 15    
7,1,8,4352,14.5, 15    , 18.50    , 19    ,15.4,15, 15.40    , 15    
7,1,9,4353,15.4, 15    , 20.50    , 21    ,16.6,17, 16.90    , 17    
7,1,10,4354,16.4, 16    , 22.00    , 22    ,17.9,18, 17.40    , 17    
7,1,11,4355,17.5, 18    , 22.50    , 23    ,18.3,18, 19.10    , 19    
7,1,12,4356,18.1, 18    , 22.90    , 23    ,18.8,19, 18.60    , 19    
7,1,13,4357,18.6, 19    , 26.60    , 27    ,17.9,18, 19.20    , 19    
7,1,14,4358,18.9, 19    , 24.10    , 24    ,18.8,19, 20.50    , 21    
7,1,15,4359,18.9, 19    , 24.50    , 25    ,19.5,20, 21.30    , 21    
7,1,16,4360,18.8, 19    , 24.80    , 25    ,19.6,20, 21.10    , 21    
7,1,17,4361,18.5, 19    , 25.00    , 25    ,19.9,20, 21.40    , 21    
7,1,18,4362,18.1, 18    , 25.00    , 25    ,19.4,19, 21.20    , 21    
7,1,19,4363,17.5, 18    , 24.60    , 25    ,18.6,19, 20.40    , 20    
